Age,Loan_Amount,Income_Level,Income_Source,Default_Status
33.0,49567.0,Medium,Daily Wage,Paid
38.0,23675.0,Low,Small Business,Paid
28.0,14586.0,Medium,Pension,Paid
54.0,35006.0,Medium,Daily Wage,Paid
53.0,32831.0,Low,Daily Wage,Default
52.0,45113.0,Medium,Daily Wage,Paid
36.0,26459.0,Low,Daily Wage,Default
37.0,42443.0,Medium,Salary,Default
35.0,,Low,Salary,Default
64.0,15877.0,Medium,Salary,Paid
58.0,49553.0,Low,Daily Wage,Paid
31.0,14922.0,High,Salary,Default
32.0,14686.0,Medium,Salary,Paid
48.0,42766.0,Medium,Pension,Paid
18.0,24407.0,High,Daily Wage,Paid
20.0,42006.0,Medium,Salary,Paid
33.0,41422.0,High,Pension,Paid
40.0,22205.0,Low,Salary,Paid
28.0,31054.0,Low,Salary,Default
29.0,33527.0,Low,Daily Wage,Paid
,28443.0,Low,Small Business,Paid
49.0,26524.0,High,Salary,Paid
33.0,38202.0,Low,Pension,Default
25.0,10016.0,Medium,Small Business,Paid
55.0,26848.0,Medium,Salary,Paid
29.0,30855.0,Medium,Salary,Paid
41.0,28211.0,Medium,Daily Wage,Paid
45.0,35095.0,Medium,Daily Wage,Paid
25.0,48724.0,Low,Salary,Paid
45.0,47583.0,Low,Salary,Default
,12843.0,Medium,Salary,Paid
43.0,39301.0,Medium,Small Business,Paid
25.0,36460.0,Medium,Daily Wage,Paid
45.0,41918.0,High,Salary,Default
45.0,38747.0,Medium,Salary,Paid
54.0,25972.0,Medium,Daily Wage,Paid
58.0,38310.0,Low,Commission,Paid
53.0,32927.0,Medium,Salary,Paid
44.0,11094.0,Medium,Salary,Paid
34.0,48892.0,Low,Salary,Paid
26.0,44172.0,Low,Daily Wage,Default
50.0,33324.0,Medium,Salary,Paid
37.0,30674.0,Low,Salary,Paid
30.0,13982.0,Low,Pension,Default
45.0,25790.0,Medium,Small Business,Paid
46.0,22205.0,Low,Daily Wage,Default
30.0,34338.0,High,Salary,Paid
63.0,22748.0,Low,Daily Wage,Paid
52.0,31097.0,Medium,Daily Wage,Paid
23.0,13092.0,Medium,Salary,Paid
35.0,32692.0,High,Salary,Paid
22.0,33862.0,Low,Daily Wage,Default
64.0,34860.0,Medium,Salary,Paid
42.0,23971.0,Medium,Salary,Paid
19.0,24616.0,Medium,Daily Wage,Paid
27.0,14933.0,Medium,Small Business,Paid
47.0,14926.0,Medium,Daily Wage,Default
62.0,35763.0,High,Salary,Paid
22.0,13969.0,Low,Small Business,Paid
50.0,45733.0,Low,Salary,Paid
18.0,14319.0,High,Pension,Paid
35.0,49876.0,Low,Daily Wage,Paid
49.0,30323.0,High,Salary,Paid
64.0,26428.0,Medium,Salary,Paid
28.0,44578.0,Medium,Salary,Paid
38.0,30950.0,Low,Small Business,Paid
43.0,28293.0,Low,Salary,Default
42.0,16364.0,Medium,Small Business,Paid
39.0,45349.0,High,Daily Wage,Paid
44.0,10691.0,High,Salary,Paid
30.0,40062.0,Low,Salary,Paid
50.0,10931.0,Low,Salary,Paid
51.0,41730.0,Low,Commission,Paid
58.0,24226.0,High,Daily Wage,Paid
52.0,23861.0,Low,Salary,Paid
18.0,41301.0,Low,Salary,Paid
38.0,32766.0,Low,Small Business,Paid
23.0,46174.0,Low,Pension,Paid
45.0,27695.0,High,Daily Wage,Paid
34.0,13121.0,Medium,Daily Wage,Paid
22.0,28257.0,Low,Salary,Paid
48.0,38164.0,Low,Salary,Paid
22.0,35491.0,Low,Commission,Paid
55.0,33165.0,Low,Salary,Paid
20.0,13748.0,Low,Daily Wage,Default
40.0,43045.0,Medium,Salary,Paid
,36553.0,Low,Salary,Paid
54.0,40497.0,Low,Small Business,Paid
27.0,41308.0,Low,Daily Wage,Paid
27.0,49560.0,Medium,Daily Wage,Paid
36.0,20374.0,Medium,Commission,Paid
34.0,14675.0,Medium,Daily Wage,Paid
38.0,11170.0,Medium,Salary,Paid
31.0,22450.0,Medium,Salary,Paid
26.0,20680.0,Low,Salary,Default
63.0,20068.0,High,Daily Wage,Paid
18.0,45230.0,Low,Daily Wage,Default
62.0,36206.0,Medium,Salary,Paid
30.0,10287.0,Medium,Daily Wage,Paid
21.0,32337.0,Medium,Salary,Paid
18.0,30666.0,High,Daily Wage,Paid
,11161.0,Medium,Salary,Paid
49.0,45131.0,High,Pension,Paid
51.0,34535.0,High,Daily Wage,Paid
45.0,42528.0,High,Daily Wage,Paid
48.0,48751.0,High,Small Business,Paid
25.0,26527.0,High,Salary,Paid
56.0,33853.0,Medium,Daily Wage,Default
43.0,24758.0,Low,Salary,Paid
51.0,10244.0,Low,Daily Wage,Paid
20.0,13178.0,Medium,Daily Wage,Paid
29.0,41831.0,High,Pension,Paid
18.0,12176.0,Medium,Small Business,Paid
61.0,47770.0,High,Salary,Paid
22.0,43654.0,High,Daily Wage,Paid
47.0,36627.0,Low,Daily Wage,Default
47.0,34881.0,Low,Small Business,Paid
34.0,45422.0,Low,Daily Wage,Default
64.0,21984.0,Low,Salary,Default
40.0,33776.0,Medium,Daily Wage,Paid
32.0,27755.0,High,Salary,Paid
54.0,17135.0,Medium,Daily Wage,Paid
38.0,10320.0,Medium,Daily Wage,Paid
31.0,47422.0,Low,Small Business,Paid
19.0,38635.0,Low,Salary,Default
28.0,31684.0,Medium,Daily Wage,Paid
56.0,33238.0,Low,Salary,Default
55.0,31889.0,Low,Daily Wage,Paid
51.0,40313.0,Medium,Salary,Default
55.0,42535.0,Low,Salary,Paid
51.0,20770.0,High,Daily Wage,Paid
35.0,49321.0,Low,Salary,Paid
47.0,30426.0,Low,Salary,Default
32.0,17498.0,Low,Pension,Default
44.0,49404.0,Low,Salary,Paid
51.0,26395.0,Medium,Daily Wage,Paid
55.0,12537.0,Medium,Daily Wage,Paid
50.0,29226.0,Medium,Salary,Default
41.0,25216.0,Medium,Daily Wage,Paid
32.0,28613.0,Low,Salary,Default
47.0,13009.0,Medium,Salary,Paid
59.0,34368.0,Low,Daily Wage,Paid
34.0,39327.0,Low,Daily Wage,Default
22.0,24209.0,Medium,Salary,Paid
,25029.0,High,Daily Wage,Paid
21.0,12077.0,Medium,Commission,Paid
27.0,23907.0,Low,Salary,Default
34.0,46635.0,Low,Small Business,Paid
27.0,14873.0,High,Small Business,Paid
34.0,18635.0,Low,Small Business,Paid
37.0,43065.0,Low,Daily Wage,Default
41.0,43783.0,Low,Pension,Paid
22.0,44152.0,Low,Daily Wage,Default
51.0,39092.0,Low,Daily Wage,Paid
23.0,27653.0,Medium,Salary,Paid
19.0,42463.0,Medium,Daily Wage,Paid
30.0,44028.0,High,Daily Wage,Paid
60.0,30947.0,Low,Daily Wage,Paid
60.0,39978.0,Low,Daily Wage,Paid
28.0,32056.0,Medium,Salary,Paid
64.0,39007.0,Medium,Daily Wage,Paid
40.0,15543.0,Medium,Salary,Paid
33.0,31067.0,High,Commission,Paid
48.0,35097.0,Low,Salary,Paid
28.0,13809.0,High,Salary,Paid
33.0,32191.0,Medium,Commission,Paid
25.0,31267.0,Low,Daily Wage,Paid
21.0,17206.0,High,Salary,Paid
57.0,31057.0,Medium,Small Business,Paid
21.0,38992.0,Low,Pension,Paid
42.0,25995.0,Low,Salary,Paid
20.0,23210.0,Low,Daily Wage,Default
49.0,27793.0,Medium,Pension,Paid
20.0,36270.0,Low,Daily Wage,Paid
44.0,15197.0,Low,Salary,Default
46.0,17452.0,Low,Salary,Paid
49.0,24859.0,Medium,Salary,Paid
36.0,37236.0,High,Small Business,Paid
38.0,41899.0,Medium,Small Business,Paid
22.0,42083.0,Low,Salary,Paid
35.0,12172.0,High,Daily Wage,Paid
45.0,26663.0,Medium,Salary,Paid
59.0,37540.0,High,Salary,Paid
39.0,29053.0,Medium,Salary,Paid
38.0,21085.0,Medium,Pension,Paid
23.0,40564.0,Medium,Small Business,Paid
18.0,34209.0,Low,Salary,Paid
22.0,13981.0,Medium,Daily Wage,Paid
58.0,31153.0,High,Salary,Paid
29.0,15247.0,High,Pension,Paid
43.0,20553.0,High,Salary,Paid
63.0,30811.0,Medium,Small Business,Default
51.0,39845.0,Low,Daily Wage,Paid
31.0,16135.0,Low,Salary,Default
43.0,15573.0,Medium,Salary,Paid
62.0,23731.0,Medium,Salary,Paid
44.0,17189.0,Low,Small Business,Paid
26.0,24541.0,Low,Daily Wage,Default
43.0,21087.0,Medium,Daily Wage,Paid
64.0,12776.0,Medium,Salary,Paid
39.0,37564.0,High,Daily Wage,Paid
64.0,38835.0,Medium,Salary,Paid
47.0,17697.0,Medium,Daily Wage,Default
60.0,24629.0,Medium,Daily Wage,Paid
34.0,18386.0,High,Salary,Paid
43.0,27046.0,Medium,Salary,Paid
53.0,18044.0,High,Daily Wage,Paid
18.0,19615.0,High,Daily Wage,Paid
25.0,15060.0,High,Daily Wage,Paid
52.0,20900.0,Low,Salary,Paid
32.0,15581.0,Low,Daily Wage,Paid
64.0,44782.0,Low,Salary,Paid
39.0,30173.0,Low,Salary,Paid
31.0,22997.0,Low,Salary,Paid
43.0,17148.0,Low,Daily Wage,Paid
45.0,28748.0,Low,Salary,Paid
40.0,24022.0,Medium,Pension,Paid
31.0,30013.0,Medium,Daily Wage,Paid
41.0,48687.0,Low,Daily Wage,Default
19.0,25886.0,Medium,Salary,Paid
62.0,35256.0,Medium,Daily Wage,Default
43.0,40005.0,Medium,Salary,Default
31.0,16638.0,High,Small Business,Paid
24.0,47419.0,Low,Salary,Paid
20.0,43377.0,Low,Salary,Paid
64.0,46634.0,Medium,Salary,Paid
40.0,26755.0,Low,Daily Wage,Paid
63.0,33382.0,Medium,Daily Wage,Paid
60.0,32394.0,Low,Small Business,Paid
64.0,12253.0,Low,Pension,Paid
62.0,47710.0,Low,Small Business,Paid
35.0,10864.0,Low,Pension,Paid
55.0,44036.0,Medium,Daily Wage,Paid
52.0,23666.0,Medium,Daily Wage,Default
32.0,30955.0,Low,Salary,Paid
42.0,47997.0,Low,Daily Wage,Paid
54.0,26309.0,Low,Small Business,Paid
45.0,14054.0,Low,Commission,Default
27.0,10935.0,High,Small Business,Paid
56.0,32778.0,Low,Salary,Default
34.0,26709.0,Medium,Daily Wage,Paid
56.0,19726.0,High,Daily Wage,Paid
39.0,30245.0,Low,Salary,Paid
43.0,44753.0,Medium,Salary,Paid
61.0,24252.0,High,Salary,Paid
42.0,31316.0,High,Pension,Paid
34.0,47371.0,Medium,Small Business,Paid
30.0,,Medium,Daily Wage,Default
37.0,25960.0,High,Daily Wage,Paid
42.0,40791.0,Low,Salary,Default
21.0,35216.0,High,Daily Wage,Paid
27.0,42467.0,Medium,Small Business,Paid
20.0,17754.0,Medium,Salary,Paid
58.0,14078.0,High,Daily Wage,Paid
62.0,22853.0,High,Salary,Paid
35.0,14042.0,Low,Salary,Default
64.0,24389.0,Low,Small Business,Paid
53.0,40425.0,Medium,Daily Wage,Paid
64.0,12575.0,Medium,Small Business,Paid
39.0,49522.0,Medium,Salary,Paid
51.0,38179.0,High,Salary,Paid
64.0,44754.0,High,Daily Wage,Paid
25.0,28624.0,Medium,Salary,Paid
57.0,30350.0,Low,Salary,Paid
61.0,36681.0,Medium,Salary,Paid
36.0,33988.0,Medium,Small Business,Paid
59.0,25470.0,Medium,Salary,Paid
58.0,34704.0,Medium,Small Business,Default
54.0,48736.0,Medium,Daily Wage,Paid
23.0,39377.0,Low,Small Business,Paid
43.0,38572.0,Low,Daily Wage,Paid
51.0,17493.0,Medium,Small Business,Paid
62.0,14103.0,Low,Pension,Paid
23.0,44844.0,Low,Daily Wage,Paid
54.0,12994.0,Low,Salary,Paid
50.0,13744.0,Medium,Salary,Paid
39.0,37332.0,Low,Daily Wage,Paid
38.0,,High,Salary,Paid
23.0,17371.0,Medium,Salary,Paid
,28028.0,Medium,Small Business,Default
21.0,45912.0,Medium,Small Business,Paid
47.0,23990.0,Low,Salary,Default
28.0,26626.0,Medium,Salary,Paid
47.0,30469.0,High,Salary,Paid
48.0,17130.0,Medium,Salary,Paid
41.0,16828.0,High,Salary,Default
26.0,49099.0,Medium,Salary,Paid
20.0,27883.0,Low,Pension,Default
48.0,28542.0,Low,Salary,Paid
57.0,20450.0,Medium,Salary,Paid
54.0,30423.0,Low,Small Business,Paid
53.0,12035.0,Low,Salary,Paid
41.0,27241.0,High,Salary,Paid
48.0,33154.0,Low,Salary,Paid
,35625.0,Low,Daily Wage,Default
19.0,43066.0,High,Salary,Paid
37.0,43691.0,High,Salary,Paid
45.0,23331.0,Low,Salary,Paid
28.0,30690.0,High,Salary,Paid
21.0,29183.0,High,Salary,Paid
32.0,49346.0,Medium,Small Business,Paid
23.0,14875.0,Low,Small Business,Paid
47.0,22254.0,Low,Salary,Paid
55.0,38621.0,Medium,Commission,Paid
19.0,20905.0,Low,Salary,Paid
32.0,25882.0,High,Small Business,Paid
28.0,29041.0,Medium,Salary,Paid
25.0,39098.0,Medium,Daily Wage,Default
43.0,43709.0,High,Daily Wage,Paid
62.0,44675.0,High,Salary,Paid
61.0,14837.0,Low,Salary,Default
22.0,34489.0,Low,Salary,Paid
23.0,27627.0,Medium,Salary,Paid
43.0,15696.0,Low,Daily Wage,Paid
21.0,23543.0,Medium,Daily Wage,Paid
36.0,22615.0,Medium,Salary,Paid
37.0,11466.0,High,Daily Wage,Default
50.0,40771.0,Medium,Salary,Paid
37.0,28350.0,Medium,Salary,Paid
29.0,10375.0,Low,Small Business,Paid
64.0,43030.0,Medium,Daily Wage,Default
18.0,30746.0,Low,Daily Wage,Paid
43.0,32886.0,High,Salary,Paid
31.0,42651.0,Low,Salary,Default
55.0,17833.0,Medium,Daily Wage,Paid
54.0,11893.0,Low,Pension,Default
28.0,40573.0,Low,Daily Wage,Paid
53.0,41371.0,Medium,Salary,Paid
30.0,21826.0,Medium,Daily Wage,Paid
60.0,44420.0,Low,Salary,Paid
20.0,31924.0,Low,Salary,Paid
50.0,43367.0,Medium,Daily Wage,Paid
23.0,,Medium,Small Business,Default
27.0,35868.0,Low,Salary,Paid
22.0,18792.0,Medium,Salary,Paid
40.0,30597.0,Low,Daily Wage,Paid
27.0,46405.0,Medium,Salary,Default
61.0,42696.0,Low,Daily Wage,Default
19.0,25989.0,Medium,Small Business,Paid
30.0,38931.0,Low,Salary,Paid
57.0,19290.0,High,Small Business,Paid
19.0,48367.0,Low,Salary,Paid
37.0,24342.0,Low,Small Business,Default
18.0,34941.0,Low,Salary,Paid
54.0,23945.0,High,Daily Wage,Paid
26.0,20762.0,Medium,Daily Wage,Paid
34.0,40133.0,Medium,Salary,Paid
26.0,37052.0,High,Salary,Paid
28.0,29953.0,High,Daily Wage,Paid
32.0,27130.0,Medium,Salary,Paid
41.0,41086.0,Low,Salary,Paid
55.0,14633.0,High,Salary,Paid
52.0,27304.0,Low,Daily Wage,Paid
47.0,42284.0,Medium,Salary,Paid
48.0,17008.0,Medium,Daily Wage,Paid
22.0,37405.0,Medium,Daily Wage,Paid
61.0,46386.0,Medium,Salary,Default
31.0,35373.0,Medium,Daily Wage,Paid
28.0,30827.0,High,Daily Wage,Paid
26.0,43040.0,Low,Daily Wage,Paid
51.0,23007.0,Low,Salary,Default
29.0,,Medium,Daily Wage,Paid
52.0,42157.0,High,Daily Wage,Paid
52.0,45315.0,Low,Salary,Paid
18.0,45932.0,Low,Salary,Paid
57.0,31164.0,Low,Commission,Paid
39.0,24414.0,Low,Salary,Paid
46.0,24327.0,High,Salary,Paid
25.0,10946.0,Medium,Salary,Paid
28.0,24693.0,Medium,Daily Wage,Default
58.0,37241.0,Medium,Small Business,Paid
54.0,40254.0,Medium,Salary,Paid
31.0,25540.0,Low,Daily Wage,Paid
47.0,16719.0,Low,Small Business,Paid
52.0,35081.0,Medium,Daily Wage,Paid
38.0,21350.0,Low,Commission,Paid
54.0,46358.0,Medium,Small Business,Paid
22.0,42021.0,Low,Salary,Paid
36.0,38369.0,Low,Daily Wage,Default
31.0,41728.0,Low,Daily Wage,Default
43.0,27576.0,Medium,Daily Wage,Paid
21.0,39001.0,Low,Daily Wage,Paid
42.0,27848.0,High,Salary,Paid
62.0,10390.0,Low,Pension,Default
59.0,31999.0,Medium,Salary,Paid
42.0,21569.0,High,Salary,Paid
35.0,23029.0,High,Salary,Paid
57.0,32490.0,High,Small Business,Paid
25.0,45328.0,Low,Daily Wage,Paid
56.0,15867.0,Low,Salary,Paid
57.0,25284.0,Medium,Small Business,Paid
31.0,43979.0,Low,Small Business,Paid
49.0,19121.0,Low,Pension,Paid
55.0,11539.0,High,Salary,Paid
50.0,35488.0,Medium,Daily Wage,Paid
40.0,27027.0,Medium,Salary,Paid
32.0,18693.0,High,Daily Wage,Paid
50.0,18921.0,Medium,Salary,Paid
42.0,20310.0,Medium,Salary,Paid
34.0,40908.0,Medium,Salary,Paid
50.0,14386.0,Low,Pension,Paid
64.0,42263.0,Low,Salary,Paid
19.0,38412.0,High,Daily Wage,Paid
31.0,27303.0,High,Daily Wage,Paid
57.0,22242.0,High,Small Business,Paid
57.0,18947.0,Medium,Daily Wage,Paid
56.0,15930.0,High,Daily Wage,Paid
23.0,48170.0,Low,Daily Wage,Paid
23.0,10507.0,Low,Salary,Paid
20.0,11436.0,Medium,Daily Wage,Paid
24.0,37151.0,Medium,Pension,Paid
25.0,21618.0,Low,Commission,Paid
59.0,18750.0,Low,Commission,Paid
32.0,26122.0,Low,Daily Wage,Default
64.0,17354.0,Medium,Pension,Paid
46.0,40979.0,Medium,Commission,Paid
50.0,30900.0,Medium,Pension,Paid
47.0,23840.0,Low,Salary,Paid
56.0,47167.0,Medium,Salary,Paid
44.0,15037.0,Medium,Daily Wage,Paid
53.0,38633.0,Medium,Small Business,Paid
46.0,34495.0,Low,Daily Wage,Default
55.0,25848.0,Medium,Daily Wage,Paid
50.0,46483.0,High,Commission,Paid
54.0,17837.0,Low,Salary,Paid
44.0,44069.0,Low,Daily Wage,Default
50.0,17370.0,Medium,Commission,Paid
21.0,16411.0,Medium,Commission,Paid
39.0,49133.0,Low,Daily Wage,Paid
19.0,40499.0,Low,Small Business,Default
27.0,40225.0,Low,Salary,Paid
22.0,10692.0,High,Salary,Paid
27.0,38926.0,Medium,Daily Wage,Default
50.0,44246.0,Medium,Daily Wage,Paid
55.0,49164.0,High,Daily Wage,Paid
30.0,18448.0,Low,Daily Wage,Paid
48.0,20073.0,High,Pension,Paid
64.0,45414.0,Medium,Salary,Paid
53.0,15209.0,Low,Small Business,Paid
62.0,16533.0,High,Salary,Paid
41.0,31061.0,High,Daily Wage,Paid
32.0,17211.0,High,Pension,Paid
46.0,19927.0,Low,Small Business,Default
25.0,21927.0,High,Daily Wage,Paid
22.0,34594.0,High,Daily Wage,Paid
46.0,19316.0,Low,Salary,Paid
64.0,22177.0,Low,Salary,Paid
21.0,20846.0,Low,Small Business,Paid
29.0,17933.0,High,Daily Wage,Paid
62.0,48244.0,Medium,Daily Wage,Paid
19.0,12080.0,Low,Salary,Default
44.0,16089.0,Low,Salary,Paid
48.0,36123.0,Low,Daily Wage,Paid
53.0,17797.0,Medium,Salary,Paid
53.0,18346.0,Medium,Salary,Default
43.0,29878.0,High,Salary,Paid
60.0,43672.0,Medium,Daily Wage,Paid
44.0,27653.0,Medium,Salary,Paid
22.0,,Low,Small Business,Default
37.0,11184.0,Low,Commission,Paid
28.0,44493.0,Medium,Daily Wage,Paid
27.0,34846.0,Low,Daily Wage,Paid
57.0,32195.0,Low,Pension,Paid
55.0,15606.0,High,Salary,Paid
23.0,13956.0,Medium,Salary,Default
25.0,26555.0,Low,Salary,Default
40.0,34849.0,Low,Daily Wage,Paid
64.0,28690.0,Low,Salary,Paid
43.0,36347.0,High,Salary,Paid
63.0,43189.0,Low,Salary,Paid
60.0,48308.0,Low,Daily Wage,Paid
29.0,35785.0,Medium,Commission,Paid
43.0,42698.0,Low,Salary,Paid
30.0,25966.0,Low,Salary,Paid
57.0,41097.0,Low,Small Business,Paid
35.0,25882.0,Low,Salary,Paid
42.0,14675.0,Low,Small Business,Default
50.0,23009.0,Low,Commission,Paid
64.0,37843.0,High,Salary,Paid
57.0,39793.0,Low,Salary,Paid
60.0,49516.0,Medium,Pension,Paid
29.0,48871.0,Medium,Daily Wage,Paid
61.0,27857.0,Medium,Daily Wage,Default
53.0,29627.0,Low,Pension,Paid
21.0,28565.0,Low,Small Business,Default
22.0,36025.0,Medium,Commission,Paid
54.0,37832.0,Medium,Daily Wage,Paid
25.0,19782.0,Medium,Daily Wage,Paid
59.0,48650.0,Low,Daily Wage,Default
,32366.0,High,Salary,Paid
48.0,38557.0,Low,Salary,Paid
26.0,15798.0,Low,Salary,Paid
46.0,19627.0,Medium,Daily Wage,Paid
31.0,22466.0,Low,Salary,Paid
57.0,22720.0,Medium,Salary,Paid
58.0,47292.0,Medium,Daily Wage,Paid
39.0,16559.0,High,Pension,Paid
28.0,29158.0,High,Daily Wage,Paid
40.0,40916.0,Medium,Salary,Paid
18.0,32057.0,Medium,Small Business,Paid
63.0,45892.0,Low,Salary,Paid
54.0,21706.0,Medium,Daily Wage,Paid
38.0,22070.0,Low,Daily Wage,Paid
43.0,10924.0,Low,Small Business,Paid
63.0,36478.0,Low,Daily Wage,Default
53.0,15506.0,Medium,Salary,Paid
40.0,45163.0,Medium,Commission,Paid
18.0,34604.0,High,Commission,Paid
57.0,25310.0,Low,Salary,Default
32.0,18226.0,High,Small Business,Paid
,21781.0,Medium,Commission,Default
64.0,15515.0,Medium,Salary,Paid
26.0,46133.0,Medium,Daily Wage,Paid
26.0,26972.0,Low,Daily Wage,Default
27.0,42092.0,High,Daily Wage,Paid
43.0,21410.0,Medium,Small Business,Paid
58.0,29522.0,High,Salary,Paid
52.0,19095.0,Medium,Small Business,Paid
42.0,33047.0,High,Small Business,Paid
43.0,30470.0,Medium,Salary,Paid
28.0,18531.0,Low,Salary,Default
55.0,47038.0,Low,Daily Wage,Paid
19.0,32403.0,Medium,Small Business,Paid
24.0,39122.0,Medium,Salary,Paid
,26940.0,Low,Salary,Paid
44.0,39831.0,High,Daily Wage,Paid
51.0,21279.0,Medium,Pension,Paid
44.0,48220.0,High,Pension,Paid
34.0,16477.0,High,Salary,Paid
60.0,27400.0,Medium,Salary,Paid
61.0,16470.0,High,Salary,Paid
41.0,12062.0,Medium,Daily Wage,Paid
42.0,29880.0,High,Daily Wage,Paid
24.0,44581.0,Low,Salary,Paid
23.0,24308.0,Low,Daily Wage,Paid
41.0,36027.0,Medium,Salary,Default
50.0,40720.0,Medium,Salary,Paid
46.0,45081.0,Medium,Salary,Paid
60.0,19706.0,Medium,Daily Wage,Paid
39.0,19837.0,Low,Salary,Paid
43.0,48599.0,High,Daily Wage,Paid
45.0,46824.0,Medium,Salary,Paid
38.0,43073.0,Medium,Salary,Paid
24.0,42088.0,Medium,Commission,Paid
34.0,38112.0,Medium,Daily Wage,Paid
37.0,36299.0,High,Small Business,Paid
58.0,44457.0,Medium,Daily Wage,Paid
37.0,40063.0,Low,Salary,Default
39.0,13917.0,Medium,Salary,Paid
45.0,12936.0,Medium,Salary,Default
57.0,46630.0,High,Salary,Paid
24.0,24506.0,Low,Salary,Paid
18.0,38805.0,High,Daily Wage,Paid
49.0,24318.0,Medium,Small Business,Paid
30.0,36026.0,High,Daily Wage,Paid
47.0,37672.0,Low,Daily Wage,Paid
40.0,48417.0,High,Daily Wage,Paid
36.0,37281.0,High,Daily Wage,Paid
49.0,38091.0,High,Salary,Paid
47.0,48328.0,Low,Salary,Paid
46.0,28610.0,Low,Daily Wage,Paid
62.0,11079.0,Medium,Daily Wage,Paid
46.0,39850.0,Low,Salary,Default
47.0,30590.0,Low,Small Business,Default
33.0,40951.0,Low,Commission,Paid
57.0,25327.0,Medium,Pension,Paid
36.0,22755.0,Medium,Pension,Paid
35.0,17235.0,Low,Small Business,Paid
,27197.0,Low,Salary,Paid
31.0,31473.0,Medium,Daily Wage,Paid
64.0,12031.0,Medium,Salary,Paid
19.0,24287.0,Low,Daily Wage,Default
45.0,48679.0,Low,Small Business,Default
47.0,42230.0,High,Salary,Paid
55.0,29037.0,High,Salary,Paid
21.0,37052.0,High,Daily Wage,Paid
18.0,13340.0,High,Salary,Paid
25.0,11141.0,Low,Daily Wage,Paid
46.0,35425.0,Medium,Daily Wage,Paid
56.0,29281.0,Medium,Salary,Paid
20.0,30425.0,Medium,Daily Wage,Paid
49.0,44806.0,Low,Salary,Paid
27.0,42113.0,Medium,Salary,Paid
27.0,14270.0,Medium,Small Business,Paid
36.0,14683.0,Low,Salary,Paid
63.0,49884.0,Medium,Salary,Paid
51.0,39809.0,Low,Commission,Default
50.0,44552.0,Low,Salary,Paid
40.0,13786.0,Low,Salary,Paid
45.0,31650.0,Low,Salary,Paid
49.0,38706.0,Low,Small Business,Paid
24.0,19190.0,High,Daily Wage,Paid
46.0,48196.0,Medium,Salary,Paid
25.0,49449.0,Medium,Small Business,Paid
18.0,49661.0,Low,Daily Wage,Default
20.0,39709.0,Medium,Small Business,Paid
41.0,24892.0,Medium,Salary,Paid
40.0,19643.0,Medium,Salary,Paid
25.0,19943.0,Medium,Small Business,Paid
64.0,31042.0,High,Daily Wage,Paid
54.0,16869.0,High,Small Business,Paid
20.0,30918.0,Medium,Commission,Paid
50.0,38379.0,Low,Salary,Default
45.0,35274.0,Medium,Pension,Paid
64.0,27696.0,Medium,Daily Wage,Paid
25.0,12962.0,Medium,Small Business,Paid
51.0,23851.0,High,Daily Wage,Paid
52.0,15296.0,Medium,Daily Wage,Paid
49.0,24745.0,High,Daily Wage,Paid
41.0,15730.0,Low,Daily Wage,Paid
31.0,23921.0,Low,Daily Wage,Default
49.0,42894.0,Low,Pension,Paid
63.0,15602.0,High,Small Business,Paid
60.0,27575.0,High,Daily Wage,Paid
33.0,29023.0,Medium,Daily Wage,Default
21.0,25997.0,Medium,Small Business,Paid
54.0,27750.0,Medium,Salary,Paid
38.0,32837.0,High,Daily Wage,Paid
31.0,24997.0,High,Salary,Paid
48.0,49439.0,Medium,Salary,Paid
35.0,33067.0,Medium,Daily Wage,Paid
24.0,30923.0,Low,Salary,Paid
27.0,18876.0,Medium,Salary,Paid
24.0,12887.0,Medium,Daily Wage,Paid
50.0,46854.0,Low,Pension,Paid
40.0,46948.0,High,Salary,Paid
38.0,12841.0,Medium,Daily Wage,Paid
36.0,38756.0,High,Daily Wage,Paid
36.0,16040.0,Low,Daily Wage,Paid
53.0,20304.0,Medium,Salary,Default
46.0,40341.0,Medium,Daily Wage,Paid
35.0,14758.0,Low,Salary,Default
19.0,27010.0,Medium,Daily Wage,Paid
18.0,41658.0,Low,Salary,Paid
64.0,47782.0,Low,Small Business,Default
22.0,11375.0,Low,Salary,Paid
37.0,43949.0,Low,Salary,Paid
28.0,32092.0,Medium,Pension,Paid
59.0,10490.0,Low,Salary,Default
19.0,13729.0,Medium,Salary,Paid
20.0,15974.0,Medium,Salary,Paid
40.0,29680.0,Medium,Small Business,Paid
29.0,28324.0,High,Daily Wage,Paid
37.0,41334.0,Medium,Daily Wage,Paid
22.0,31398.0,Medium,Salary,Paid
54.0,44650.0,Low,Salary,Paid
55.0,31292.0,Medium,Small Business,Paid
47.0,45755.0,High,Daily Wage,Paid
26.0,48353.0,Low,Daily Wage,Default
51.0,13159.0,Low,Commission,Paid
61.0,42626.0,Low,Daily Wage,Paid
52.0,39351.0,Medium,Daily Wage,Default
39.0,47298.0,Medium,Salary,Paid
61.0,27065.0,Medium,Small Business,Default
41.0,31638.0,Low,Small Business,Paid
34.0,11073.0,High,Pension,Paid
27.0,28771.0,Low,Daily Wage,Default
47.0,45461.0,Low,Salary,Paid
63.0,39320.0,Medium,Daily Wage,Paid
40.0,14340.0,Low,Small Business,Paid
49.0,44924.0,Low,Salary,Paid
34.0,26184.0,Low,Daily Wage,Default
